144.957670 -37.807620  --> Census year: 2016 || Block ID: 113 || Property ID: 110689 || Base Property ID: 108118 || CLUE small area: China (CBD) ||  Trading Name: Amott Quality Meats ||  Industry (ANZSIC4) code: 4121 || Industry (ANZSIC4) description: Fresh Meat, Fish and Poultry Retailing || x coordinate: 144.95767 || y coordinate: -37.80762 || Location: (-37.80762, 144.95767) ||
144.991180 -37.321440  --> Census year: 2018 || Block ID: 51 || Property ID: 566659 || Base Property ID: 566659 || CLUE small area: Melbourne (CBD) ||  Trading Name: City Dental Care At Neo 200 ||  Industry (ANZSIC4) code: 8531 || Industry (ANZSIC4) description: Dental Services || x coordinate: 144.9533 || y coordinate: -37.81625 || Location: (-37.81625, 144.9533) ||

144.971180 -37.556460  --> Census year: 2018 || Block ID: 51 || Property ID: 566659 || Base Property ID: 566659 || CLUE small area: Melbourne (CBD) ||  Trading Name: City Dental Care At Neo 200 ||  Industry (ANZSIC4) code: 8531 || Industry (ANZSIC4) description: Dental Services || x coordinate: 144.9533 || y coordinate: -37.81625 || Location: (-37.81625, 144.9533) ||

144.969980 -36.754550  --> Census year: 2018 || Block ID: 51 || Property ID: 566659 || Base Property ID: 566659 || CLUE small area: Melbourne (CBD) ||  Trading Name: City Dental Care At Neo 200 ||  Industry (ANZSIC4) code: 8531 || Industry (ANZSIC4) description: Dental Services || x coordinate: 144.9533 || y coordinate: -37.81625 || Location: (-37.81625, 144.9533) ||

144.961990 -37.844570  --> Census year: 2018 || Block ID: 51 || Property ID: 566659 || Base Property ID: 566659 || CLUE small area: Melbourne (CBD) ||  Trading Name: City Dental Care At Neo 200 ||  Industry (ANZSIC4) code: 8531 || Industry (ANZSIC4) description: Dental Services || x coordinate: 144.9533 || y coordinate: -37.81625 || Location: (-37.81625, 144.9533) ||

144.859380 -37.123140  --> Census year: 2013 || Block ID: 113 || Property ID: 110691 || Base Property ID: 108118 || CLUE small area: Melbourne (CBD) ||  Trading Name: The Traditional Pasta Shop ||  Industry (ANZSIC4) code: 4129 || Industry (ANZSIC4) description: Other Specialised Food Retailing || x coordinate: 144.95767 || y coordinate: -37.80762 || Location: (-37.80762, 144.95767) ||

144.859380 -37.123140  --> Census year: 2018 || Block ID: 113 || Property ID: 110689 || Base Property ID: 108118 || CLUE small area: Melbourne (CBD) ||  Trading Name: WR King Smallgoods ||  Industry (ANZSIC4) code: 4121 || Industry (ANZSIC4) description: Fresh Meat, Fish and Poultry Retailing || x coordinate: 144.95767 || y coordinate: -37.80762 || Location: (-37.80762, 144.95767) ||

144.049330 -37.464360  --> Census year: 2018 || Block ID: 61 || Property ID: 641556 || Base Property ID: 105718 || CLUE small area: Melbourne (CBD) ||  Trading Name: Higher Ground ||  Industry (ANZSIC4) code: 4511 || Industry (ANZSIC4) description: Cafes and Restaurants || x coordinate: 144.95352 || y coordinate: -37.81542 || Location: (-37.81542, 144.95352) ||

